Sequence_ID,Direction,Sender,Recipient,Packet_Type,Transmission_Timestamp
2396,DOWNLINK,0,"2,",CNTRL-ACK,0.0030731654917654024
2417,DOWNLINK,0,"15,26,",CNTRL-CTA,0.0030916158943668386
2418,UPLINK,26,0,CNTRL-RTS,0.0030916283403910594
2419,DOWNLINK,0,"26,",CNTRL-CTS,0.003092538414496911
2420,UPLINK,26,0,DATA-ULDATA,0.003092538414496911
2421,DOWNLINK,0,"26,",CNTRL-ACK,0.0030942700061265876
2431,DOWNLINK,0,"2,13,14,17,",CNTRL-CTA,0.003102572687297234
2432,UPLINK,17,0,CNTRL-RTS,0.0031026205767529535
2433,DOWNLINK,0,"17,",CNTRL-CTS,0.003103495207427306
2434,UPLINK,17,0,DATA-ULDATA,0.003103495207427306
2435,DOWNLINK,0,"17,",CNTRL-ACK,0.003105226799056983
2444,DOWNLINK,0,"1,",CNTRL-CTA,0.0031126069600975574
2445,UPLINK,1,0,CNTRL-RTS,0.0031126610521824897
2446,DOWNLINK,0,"1,",CNTRL-CTS,0.0031135294802276297
2447,UPLINK,1,0,DATA-ULDATA,0.0031135294802276297
2448,DOWNLINK,0,"1,",CNTRL-ACK,0.0031152610718573064
2467,DOWNLINK,0,"16,18,",CNTRL-CTA,0.003131866434198599
2468,UPLINK,16,0,CNTRL-RTS,0.0031319091844119076
2469,DOWNLINK,0,"16,",CNTRL-CTS,0.0031327889543286713
2470,UPLINK,16,0,DATA-ULDATA,0.0031327889543286713
2471,DOWNLINK,0,"16,",CNTRL-ACK,0.003134520545958348
2565,DOWNLINK,0,"9,22,",CNTRL-CTA,0.0032203149180550267
2566,UPLINK,9,0,CNTRL-RTS,0.0032203491847748646
2567,DOWNLINK,0,"9,",CNTRL-CTS,0.003221237438185099
2568,UPLINK,9,0,DATA-ULDATA,0.003221237438185099
2569,DOWNLINK,0,"9,",CNTRL-ACK,0.0032229690298147757
2596,DOWNLINK,0,"5,27,",CNTRL-CTA,0.003246954553196643
